Species,Straight_Carapace_Length_cm,Straight_Carapace_Width_cm,weight_kg
green,18.1,14.4,0.4
green,18.1,14.4,0.4
ridley,15.4,13,0.42
green,21,16.9,0.6
green,21,16.9,0.6
hawksbill,17.5,13,0.62
green,18.2,14.9,0.8
green,18.2,14.9,0.8
green,19.7,15.6,0.8
green,19.7,15.6,0.8
hawksbill,26,18.7,0.84
hawksbill,20.8,14.8,0.93
hawksbill,20.2,14.7,0.94
hawksbill,20.3,14.6,0.98
green,23.4,17.7,1
green,23.4,17.7,1
green,23,18.1,1
green,23,18.1,1
green,23.5,19.2,1
green,23.5,19.2,1
green,24.6,19.3,1
green,24.6,19.3,1
green,27.8,22.3,1
green,27.8,22.3,1
green,29.9,23.7,1
green,29.9,23.7,1
green,19.7,16,1.02
loggerhead,8.5,3.9,1.05
green,20.8,17.1,1.06
ridley,18.6,17.9,1.06
ridley,18.7,17.6,1.09
ridley,18.4,17.8,1.12
green,21.1,16.9,1.2
green,21.1,16.9,1.2
green,24.3,18,1.2
green,24.3,18,1.2
green,22.4,18.2,1.2
green,22.4,18.2,1.2
green,22.5,19.2,1.2
green,24,19.3,1.2
green,24,19.3,1.2
green,23.4,19.8,1.2
green,23.4,19.8,1.2
ridley,18.5,18.6,1.24
green,23.1,18.3,1.4
green,23.1,18.3,1.4
green,23.4,18.3,1.4
green,23.4,18.3,1.4
green,23.5,18.3,1.4
green,23.5,18.3,1.4
green,23,18.6,1.4
green,23,18.6,1.4
green,22.8,19.2,1.4
green,23.2,19.2,1.4
green,23.2,19.2,1.4
green,23.8,19.2,1.4
green,23.8,19.2,1.4
green,22.8,19.3,1.4
green,22.8,19.3,1.4
green,39.5,28.8,1.4
green,39.5,28.8,1.4
green,27.2,22,1.5
green,27.2,22,1.5
green,27.2,22,1.5
green,27.2,22,1.5
green,28,22.5,1.5
green,28,22.5,1.5
green,28,22.5,1.5
green,28,22.5,1.5
green,27.6,22.6,1.5
green,27.6,22.6,1.5
green,27.6,22.6,1.5
green,27.6,22.6,1.5
green,27.5,22.9,1.5
green,27.5,22.9,1.5
green,27.5,22.9,1.5
green,27.5,22.9,1.5
green,29.5,23.7,1.5
green,29.5,23.7,1.5
green,29.5,23.7,1.5
green,29.5,23.7,1.5
green,24.6,14.9,1.6
green,24.6,14.9,1.6
green,23.5,19.1,1.6
green,23.5,19.1,1.6
green,24.4,19.3,1.6
green,24.4,19.3,1.6
ridley,22.1,19.4,1.6
ridley,22.1,19.4,1.6
ridley,22.1,19.4,1.6
ridley,22.1,19.4,1.6
green,24.5,19.4,1.6
green,24.5,19.4,1.6
ridley,21.7,20.3,1.6
green,25.1,21.1,1.6
green,25.1,21.1,1.6
green,25.7,21.2,1.6
green,25.7,21.2,1.6
ridley,21.7,20,1.66
ridley,22.5,20.6,1.71
green,24.8,18.6,1.8
