Date,Description,Withdrawals,Category,Balance
7/28/22,DEBIT CARD PURCHASE   XXXXX4339 MED*UF HEALTH             GAINESVILLE FL,$45.00 ,Healthcare,$70.79 
7/26/22,DEBIT CARD PURCHASE   XXXXX4339 EMERGENCY PHYSICIANS M    GAINESVILLE FL,$50.00 ,Healthcare,$115.79 
7/25/22,DEBIT CARD PURCHASE   XXXXX4339 PUBLIX #1560              GAINESVILLE FL,$0.62 ,Groceries,$165.79 
7/15/22,POS PURCHASE          POS81550094  0915695 SAM'S CLUB               GAINESVILLE  FL,$283.89 ,Electronics + Merchandise,$62.09 
7/11/22,DEBIT CARD PURCHASE   XXXXX4339 PUBLIX #1560              GAINESVILLE FL,$12.32 ,Groceries,$456.03 
7/8/22,DEBIT CARD PURCHASE   XXXXX4339 SignUp AdventHealthCo    XXXXX1360 NJ,$126.90 ,Healthcare,$468.35 
7/8/22,DEBIT CARD PURCHASE   XXXXX4339 UF HUBCFA                 GAINESVILLE FL,$23.52 ,Other Expenses,$595.25 
7/5/22,DEBIT CARD PURCHASE   XXXXX4339 PUBLIX #1560              GAINESVILLE FL,$16.99 ,Groceries,$533.67 
6/21/22,POS PURCHASE          POS24815501  3599265 SAMSCLUB #8155           GAINESVILLE  FL,$284.03 ,Groceries,$176.55 
6/21/22,POS PURCHASE          POS81550088  3599264 SAMS CLUB #815           GAINESVILLE  FL,$61.42 ,Electronics + Merchandise,$460.58 
6/21/22,POS PURCHASE          POS99999999  3599266 USPS PO 113228           GAINESVILLE  FL,$28.80 ,Shipping,$541.55 
6/21/22,DEBIT CARD PURCHASE   XXXXX4339 GAINESVILLEPTWELLN       XXXXX9566 UT,$65.00 ,Other Expenses,$570.35 
6/6/22,DEBIT CARD PURCHASE   XXXXX4339 GAINESVILLEPTWELLN       XXXXX9566 UT,$63.70 ,Healthcare,$67.74 
6/6/22,DEBIT CARD PURCHASE   XXXXX4339 GAINESVILLEPTWELLN       XXXXX9566 UT,$65.00 ,Healthcare,$131.44 
6/1/22,POS PURCHASE          POS81550096  0830398 SAMS CLUB #815           GAINESVILLE  FL,$45.27 ,Auto + Gas,$127.44 
6/1/22,POS PURCHASE          POS81550088  0830399 SAMS CLUB #815           GAINESVILLE  FL,$57.81 ,Groceries,$172.71 
6/1/22,DEBIT CARD PURCHASE   XXXXX4339 UNIVERSITY ACE HDWE       GAINESVILLE FL,$7.48 ,Home Improvement,$230.52 
5/16/22,DEBIT CARD PURCHASE   XXXXX4339 MD NOW RPB (561)798-94    ROYAL PALM  FL,$70.00 ,Healthcare,$22.57 
5/16/22,POS PURCHASE          POS99999999  2782763 PUBLIX SUPER M           WEST PALM BE FL,$19.72 ,Groceries,$92.57 
,,"$1,327.47 ",,
