Date,Original Description,Amount
12/12/22,POS PURCHASE POS24815501 2614374 SAMSCLUB #8155 GAINESVILLE FL SAMSCLUB #8155 N1211 4339GAINESVILLE FL,75.92
12/7/22,KENNY'S AUTO REPAIR BRADENTON FL,680.41
10/28/22,POS PURCHASE POS24815501 0902770 SAMSCLUB #8155 GAINESVILLE FL SAMSCLUB #8155 N1028 4339GAINESVILLE FL,171.86
10/28/22,POS PURCHASE POS81550084 0902771 SAMS CLUB #815 GAINESVILLE FL SAMS CLUB #815 N1028 4339GAINESVILLE FL,2.12
10/14/22,SUPER COOL BIKES GAINESVILLE FL,59.09
10/14/22,POS PURCHASE POS81550088 0896017 SAMS CLUB #815 GAINESVILLE FL SAMS CLUB #815 N1014 4339GAINESVILLE FL,42.67
10/14/22,POS PURCHASE POS24815501 0896016 SAMSCLUB #8155 GAINESVILLE FL SAMSCLUB #8155 N1014 4339GAINESVILLE FL,29.94
10/14/22,POS PURCHASE POS81550092 0896018 SAM'S CLUB GAINESVILLE FL SAM'S CLUB N1014 4339GAINESVILLE FL,211.74
10/14/22,DEBIT CARD PURCHASE xxxxxxxxxxxxxxxx9287 GAINESVILLE AFTER HOUR GAINESVILLE FL GAINESVILLE AFTER HOUR VIS 1013 GAINESVILLE FL,25
10/14/22,POS PURCHASE POS31467301 0896015 DOLLAR GENERAL GAINESVILLE FL DOLLAR GENERAL N1013 4339GAINESVILLE FL,5.68
,,1304.43
